CLASS,ORDER,CLADE,GROUP,"FAMILY, SUBFAMILY, TRIBE",,GENUS,SPECIES,SUBSPECIES,COMMON NAME,SECONDARY COMMON NAMES,AUTHOR_YEAR,GENUS SPECIES SUBSPECIES,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,microbelos,,Javelin Frog,,"Cogger, 1966",Litoria microbelos,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,moorei,,Motorbike Frog,,"Copland, 1957",Litoria moorei,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,myola,,Kuranda Tree Frog,,"Hoskin, 2007",Litoria myola,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,nannotis,,Waterfall Frog,Torrent Tree Frog,"Andersson, 1916",Litoria nannotis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,nasuta,,Striped Rocket Frog,Rocket Frog,"Gray, 1842",Litoria nasuta,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,nigrofrenata,,Tawny Rocket Frog,Bridle Frog,"Günther, 1867",Litoria nigrofrenata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,nudidigitus,,Southern Leaf-green Tree Frog,Leaf Green River Tree Frog,"Copland, 1963",Litoria nudidigitus,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,nyakalensis,,Mountain Mist Frog,Nyakala Frog,"Liem, 1974",Litoria nyakalensis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,olongburensis,,Wallum Sedge Frog,Olongburra Frog,"Liem & Ingram, 1977",Litoria olongburensis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,pallida,,Pale Rocket Frog,Pallid Rocket Frog,"Davies, Martin & Watson, 1983",Litoria pallida,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,paraewingi,,Victorian Tree Frog,,"Watson, Loftus-Hills & Littlejohn, 1971",Litoria paraewingi,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,pearsoniana,,Cascade Tree Frog,,"Copland, 1961",Litoria pearsoniana,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,peronii,,Emerald-spotted Tree Frog,,"Tschudi, 1838",Litoria peronii,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,personata,,Masked Frog,,"Tyler, Davies & Martin, 1978",Litoria personata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,phyllochroa,,Leaf-green Tree Frog,Green Stream Frog,"Günther, 1863",Litoria phyllochroa,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,piperata,,Peppered Tree Frog,,"Tyler & Davies, 1985",Litoria piperata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,quiritatus,,Screaming Tree Frog,,"Rowley, Mahony, Hines, Myers, Price, Shea & Donnellan, 2021",Litoria quiritatus,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,raniformis,,Southern Bell Frog,,"Keferstein, 1867",Litoria raniformis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,revelata,,Whirring Tree Frog,Revealed Frog,"Ingram, Corben & Hosmer, 1982",Litoria revelata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,rheocola,,Common Mist Frog,,"Liem, 1974",Litoria rheocola,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,rothii,,Northern Laughing Tree Frog,Roth's Tree Frog,"De Vis, 1884",Litoria rothii,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,rubella,,Little Red Tree Frog,"Desert Tree Frog, Ruddy Tree Frog","Gray, 1842",Litoria rubella,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,serrata,,Green-eyed Tree Frog,,"Andersson, 1916",Litoria serrata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,spaldingi,,Spalding's Rocket Frog,,"Hosmer, 1964",Litoria spaldingi,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,spenceri,,Spotted Tree Frog,,"Dubois, 1984",Litoria spenceri,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,splendida,,Magnificent Tree Frog,Splendid Tree Frog,"Tyler, Davies & Martin, 1977",Litoria splendida,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,staccato,,Chattering Rock Frog,,"Doughty & Anstis, 2007",Litoria staccato,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,subglandulosa,,New England Tree Frog,Glandular Frog,"Tyler & Anstis, 1983",Litoria subglandulosa,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,tornieri,,Black-shinned Rocket Frog,,"Nieden, 1923",Litoria tornieri,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,tyleri,,Laughing Tree Frog,"Tyler's Tree Frog, Southern Laughing Tree Frog","Martin, Watson, Gartside, Littlejohn & Loftus-Hills, 1979",Litoria tyleri,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,verreauxii,alpina,Alpine Tree Frog,,"Fry, 1915",Litoria verreauxii alpina,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,verreauxii,verreauxii,Whistling Tree Frog,,"Duméril, 1853",Litoria verreauxii verreauxii,,,,,,,,,,,,
